rule,pop_all69,pop_highphi66,L_over_A_inv_um,family,group,phi_target,phi_actual,N,d_min_um,d_max_um,size_ratio,d_cv,box_x_um,box_y_um,box_z_um,n_seed,in_ensemble69,generator,kind,engine_version,engine_variant,baseline_fp,engine_dependence
"bimodal, size ratio 3, volume fraction of the large particles 0.7; sedimentation s = 1",True,True,0.005594195062522008,segregated,process segregation,0.66,0.6600000000000006,900,13.746108161185072,41.23832448355522,3.0,0.46774689538794956,178.75672707579383,178.75672707579383,178.75672707579383,3,True,"ensemble.make(family, d_um, seed)",random_pack,v4,holm,014d59a0d7b143ba,none (structure generation is purely geometric; the values do not change with the engine variant)
"fibres oriented along z, 24 fibres x 6 spheres",True,True,0.005419260701392893,fiber_z,anisotropy,0.6,0.6960000000000007,1044,19.999999999999996,20.0,1.0000000000000002,1.6493059200777426e-16,184.52701486440276,184.52701486440276,184.52701486440276,3,True,"ensemble.make(family, d_um, seed)",random_pack,v4,holm,014d59a0d7b143ba,none (structure generation is purely geometric; the values do not change with the engine variant)
"fibres oriented in xy, 24 fibres x 6 spheres",True,True,0.005419260701392893,fiber_xy,anisotropy,0.6,0.6960000000000007,1044,19.999999999999996,20.0,1.0000000000000002,1.6493059200777426e-16,184.52701486440276,184.52701486440276,184.52701486440276,3,True,"ensemble.make(family, d_um, seed)",random_pack,v4,holm,014d59a0d7b143ba,none (structure generation is purely geometric; the values do not change with the engine variant)
30% low-kappa coated particles (lowk_coat),True,True,0.005419260701392893,coat_mix,non-uniform treatment,0.6,0.6000000000000005,900,19.999999999999996,19.999999999999996,1.0,0.0,184.52701486440276,184.52701486440276,184.52701486440276,3,True,"ensemble.make(family, d_um, seed)",random_pack,v4,holm,014d59a0d7b143ba,none (structure generation is purely geometric; the values do not change with the engine variant)
stratification p = 0.25 (z' = L (z/L)^(1+p)),True,True,0.005419260701392893,strat_025,segregation strength,0.6,0.6000000000000005,900,19.999999999999996,19.999999999999996,1.0,0.0,184.52701486440276,184.52701486440276,184.52701486440276,3,True,"ensemble.make(family, d_um, seed)",random_pack,v4,holm,014d59a0d7b143ba,none (structure generation is purely geometric; the values do not change with the engine variant)
stratification p = 0.55 (z' = L (z/L)^(1+p)),True,True,0.005419260701392893,strat_055,segregation strength,0.6,0.6000000000000005,900,19.999999999999996,19.999999999999996,1.0,0.0,184.52701486440276,184.52701486440276,184.52701486440276,3,True,"ensemble.make(family, d_um, seed)",random_pack,v4,holm,014d59a0d7b143ba,none (structure generation is purely geometric; the values do not change with the engine variant)
stratification p = 1 (z' = L (z/L)^(1+p)),True,True,0.005419260701392893,strat_100,segregation strength,0.6,0.6000000000000005,900,19.999999999999996,19.999999999999996,1.0,0.0,184.52701486440276,184.52701486440276,184.52701486440276,3,True,"ensemble.make(family, d_um, seed)",random_pack,v4,holm,014d59a0d7b143ba,none (structure generation is purely geometric; the values do not change with the engine variant)
stratification p = 1.8 (z' = L (z/L)^(1+p)),True,True,0.005419260701392893,strat_180,segregation strength,0.6,0.6000000000000005,900,19.999999999999996,19.999999999999996,1.0,0.0,184.52701486440276,184.52701486440276,184.52701486440276,3,True,"ensemble.make(family, d_um, seed)",random_pack,v4,holm,014d59a0d7b143ba,none (structure generation is purely geometric; the values do not change with the engine variant)
"bimodal, size ratio 3, volume fraction of the large particles 0.7; sedimentation s = 0",True,True,0.005594195062522008,seg_000,segregation strength,0.66,0.6600000000000006,900,13.746108161185072,41.23832448355522,3.0,0.46774689538794956,178.75672707579383,178.75672707579383,178.75672707579383,3,True,"ensemble.make(family, d_um, seed)",random_pack,v4,holm,014d59a0d7b143ba,none (structure generation is purely geometric; the values do not change with the engine variant)
"bimodal, size ratio 3, volume fraction of the large particles 0.7; sedimentation s = 0.33",True,True,0.005594195062522008,seg_033,segregation strength,0.66,0.6600000000000006,900,13.746108161185072,41.23832448355522,3.0,0.46774689538794956,178.75672707579383,178.75672707579383,178.75672707579383,3,True,"ensemble.make(family, d_um, seed)",random_pack,v4,holm,014d59a0d7b143ba,none (structure generation is purely geometric; the values do not change with the engine variant)
"bimodal, size ratio 3, volume fraction of the large particles 0.7; sedimentation s = 0.67",True,True,0.005594195062522008,seg_067,segregation strength,0.66,0.6600000000000006,900,13.746108161185072,41.23832448355522,3.0,0.46774689538794956,178.75672707579383,178.75672707579383,178.75672707579383,3,True,"ensemble.make(family, d_um, seed)",random_pack,v4,holm,014d59a0d7b143ba,none (structure generation is purely geometric; the values do not change with the engine variant)
"bimodal, size ratio 3, volume fraction of the large particles 0.7; sedimentation s = 1",True,True,0.005594195062522008,seg_100,segregation strength,0.66,0.6600000000000006,900,13.746108161185072,41.23832448355522,3.0,0.46774689538794956,178.75672707579383,178.75672707579383,178.75672707579383,3,True,"ensemble.make(family, d_um, seed)",random_pack,v4,holm,014d59a0d7b143ba,none (structure generation is purely geometric; the values do not change with the engine variant)
jittered lattice,True,False,0.010786181780058069,jittered_ref,legacy baseline,,0.3737346949842481,1036,20.0,25.0,1.25,0.020445793681251507,355.3445837364765,92.61104400119858,354.96065361330113,3,True,"ensemble.make(family, d_um, seed)",jittered,v4,holm,014d59a0d7b143ba,none (structure generation is purely geometric; the values do not change with the engine variant)
